Sesion;Ejercicio;Instrucciones;Repeticiones
Calentamiento Pierna Fuerte;Cardio Suave Pierna;Caminar en cinta con inclinación o elíptica a ritmo medio (5-10 min);1
Calentamiento Pierna Fuerte;World's Greatest Stretch;Da una zancada larga, apoya la mano contraria en el suelo y gira el torso mirando al techo (5 x lado);10
Calentamiento Pierna Fuerte;Puente de Glúteo;Tumbada boca arriba, sube la cadera y aprieta el glúteo arriba 2 segundos. Sin peso (15 reps);15
Calentamiento Pierna Fuerte;Balanceos de pierna;Apoyada en pared, balancea la pierna adelante y atrás para soltar isquios (10 x pierna);20
Calentamiento Pierna Fuerte;Movilidad de tobillo;En posición de caballero (rodilla en suelo), empuja la rodilla adelante sin levantar talón (10 rebotes);10
Calentamiento Torso;Cardio Suave Torso;Remo suave (5 min);1
Calentamiento Torso;Círculos de brazos;Amplios, hacia adelante y hacia atrás (10 + 10 reps);20
Calentamiento Torso;Dislocaciones de hombro;Con palo o banda elástica con agarre muy ancho. Pasar los brazos rectos desde la cadera, por encima de la cabeza, hasta tocar los glúteos (10-12 reps);10
Calentamiento Torso;Rotación torácica;En cuadrupedia (4 patas), mano en nuca y gira el codo hacia el techo siguiendo con la mirada (8 x lado);16
Calentamiento Torso;Band pull-aparts;Brazos estirados al frente, abre la banda elástica hacia los lados juntando escápulas. Abrir los brazos en cruz (15 reps);15
Calentamiento Pierna Mixta;Cardio Suave Pierna;Caminar en cinta con inclinación o elíptica a ritmo medio (5-10 min);1
Calentamiento Pierna Mixta;Sentadilla Profunda;Baja todo lo que puedas y aguanta 2 seg abajo abriendo rodillas con los codos (10 reps);10
Calentamiento Pierna Mixta;Cossack Squat;De pie con piernas muy abiertas, baja lateralmente hacia un lado (8 x lado);16
Calentamiento Pierna Mixta;Fire Hydrant;A 4 patas, levanta la rodilla lateralmente para activar glúteo medio (10 x lado);20
Calentamiento Pierna Mixta;Rodillas al pecho;De pie, sube rodillas con ritmo ligero para activar circulación (20 seg);20
Calentamiento Hombros y Muñecas;Cardio Suave Torso;Remo suave (5 min);1
Calentamiento Hombros y Muñecas;Círculos y Ondas de Muñeca;Entrelaza los dedos de las manos y haz movimientos circulares suaves (como dibujando el símbolo del infinito) hacia un lado y hacia el otro (30 seg).;30
Calentamiento Hombros y Muñecas;Círculos de brazos;Amplios, hacia adelante y hacia atrás (10 + 10 reps);20
Calentamiento Hombros y Muñecas;Dislocaciones de hombro;Con palo o banda elástica con agarre muy ancho. Pasar los brazos rectos desde la cadera, por encima de la cabeza, hasta tocar los glúteos (10-12 reps);12
Calentamiento Hombros y Muñecas;Aperturas cruzadas;"""Pájaros"" sin peso. De pie, cruza los brazos por delante de tu pecho como si te dieras un abrazo fuerte, y luego ábrelos de golpe hacia atrás lo máximo posible (sintiendo cómo se juntan las escápulas). Haz unas 15-20 repeticiones con ritmo alegre.";20
